PLAYER_NAME,PLAYER_ID,ABILITY_PARAMS
Denver Barkey,114,21.279512268119205
Drew Fortescue,108,21.23696392912044
Brandon Svoboda,86,21.221457212289437
Dylan Mackinnon,87,21.20669055814623
Jonathan Castagna,88,21.191872371714304
Albert Wikman,89,21.1771004775451
Noel Nordh,112,21.122998647282774
Zaccharya Wisdom,96,21.011297623137207
Michael Emerson,97,20.975433881222546
Tuomas Uronen,98,20.93952678046895
Tanner Ludtke,100,20.865991584609016
Zeb Forsfjall,101,20.82864667678593
Frantisek Dej,102,20.79123574761518
Beckett Hendrickson,105,20.649667698089786
Jaden Lipinski,116,20.616863328859196
Konnor Smith,106,20.593514333195923
Yegor Rimashevskiy,109,20.41257010752049
Tyler Peddle,110,20.348215826910156
Luke Mcnamara,111,20.283739709031803
Brady Cleveland,118,20.236869420077248
Gabriel Szturc,113,20.148457991071027
Ruslan Khazheyev,117,19.66690933851209
Brad Gardiner,121,19.51007004707166
Matteo Mann,119,19.277233917025754
Chase Cheslock,120,19.06124246423012
Paul Fischer,122,18.563083680817677
Connor Levis,123,18.28148717297943
Jayson Shaugabay,126,18.16709309149572
Hudson Malinoski,124,17.99911210661207
Sawyer Mynio,125,17.716146476853076
Daniil Karpovich,127,17.049237518306093
Max Lundgren,128,16.667661645973382
Milton Oscarson,129,16.287739619521187
Matteo Fabrizi,130,15.908280090264679
Joseph Connor,131,15.528842894119508
Jake Fisher,132,15.149021306485126
Austin Roest,133,14.768844152665856
Cam Squires,134,14.388501132775668
Alexander Hellnemo,135,14.008009193683396
Scott Ratzlaff,136,13.627924443317417
Jakub Stancl,137,13.24866212344642
Zachara Schulz,138,12.870266663316343
Sean Keohane,139,12.492715574999423
Samuel Mayer,140,12.115906447160253
Matthew Mania,142,12.066127746007192
Anthony Romani,141,11.739295971427776
Cole Knuble,143,10.7578360940551
Nicholas Vantassell,144,10.150371370068212
Nikita Susuyev,145,9.540293438242841
Aaron Pionk,146,8.928264514845212
Kalem Parker,147,8.315476247502982
Andrei Loshko,148,7.703413003026595
Carter Sotheran,149,7.093343383120888
Stephen Peck,150,6.4864246316458765
Casper Nassen,151,5.883549164425997
Ivan Anoshko,152,5.285329738715185
Francesco Dell'Elce,153,4.6915490586860225
Emil Jarventie,154,4.101366744195777
Petter Vesterheim,155,3.512873178761926
Vadim Moroz,156,2.924600169217774
Tanner Adams,157,2.3352828418554417
Kaden Hammell,158,1.7448371698640166
Mazden Leslie,159,1.154956499935191
Deagan Mcmillan,160,0.568495709545626
Benjamin Poitras,161,-0.01187448502980043
Janne Peltonen,162,-0.5843974500312326
Egor Zavragin,163,-1.1497428407765868
Michael Hagens,164,-1.7104381591366251
Ethan Gardula,165,-2.270299146118028
Nathaniel Day,166,-2.832759012327222
Kalle Kangas,167,-3.4005082184357143
