Team,Type,POS,Name,POS.1,AGE,SH,ACQUIRED,GP,G,A,P,GAA,SV%,League,Notes,NHL eP,Goalie Equivalency
VGK,Minors,F,"Brabenec, Jakub",C,20,L,Drafted (102 - 2021),54,18,42,60,,,QMJHL,,10,0
VGK,Minors,F,"Primeau, Mason",C,22,L,Drafted (141 - 2019),27,5,3,8,,,AHL,,9,0
VGK,Minors,D,"Korczak, Kaedan",RD,22,R,Drafted (41 - 2019),50,4,10,14,,,AHL,,9,0
VGK,Minors,D,"Chayka, Daniil",LD,20,L,Drafted (38 - 2021),57,2,6,8,,,AHL,,4,0
VGK,Minors,D,"Cormier, Lukas",LD,21,L,Drafted (68 - 2020),62,10,25,35,,,AHL,,18,0
VGK,Minors,D,"Ahac, Layton",LD,22,L,Drafted (86 - 2019),34,1,3,4,,,AHL,,4,0
VGK,Minors,D,"Fleming, Joe",RD,20,R,Signed to ELC,63,5,22,27,,,QMJHL,,4,0
VGK,Minors,D,"Sedoff, Christoffer",LD,21,L,Signed to ELC,59,5,46,51,,,WHL,,10,0
VGK,Minors,G,"Vikman, Jesper",G,21,L,Drafted (125 - 2020),45,,,,3.29,0.903,WHL,,0,0.863656479
VGK,Minors,G,"Saville, Isaiah",G,22,R,Drafted (135 - 2019),33,,,,3.09,0.92,ECHL,,0,0.870672463
VGK,Loaned,F,"Morozov, Ivan",C,23,R,Drafted (61 - 2018),58,6,11,17,,,AHL,,9,0
VGK,Loaned,G,"Lindbom, Carl",G,20,L,Drafted (222 - 2021),36,,,,1.86,0.93,HockeyAllsvenskan,,0,0.893320728
VGK,Prospects,F,"Cataford, Mathieu","C, RW",18,R,Drafted (77 - 2023),68,31,44,75,,,QMJHL,,10,0
VGK,Prospects,F,"Gustafson, Jordan",C,19,L,Drafted (79 - 2022),40,16,20,36,,,WHL,,10,0
VGK,Prospects,F,"Hallum, Jackson","C, LW, RW",21,L,Drafted (91 - 2020),39,6,11,17,,,NCAA,,7,0
VGK,Prospects,F,"Donovan, Ryder",C,22,R,Drafted (110 - 2019),34,2,2,4,,,NCAA,,2,0
